Game,total_industry,regard,total_science,uid,ai,huid,total_stars,total_fleets,total_strength,alias,avatar,conceded,ready,total_economy,missed_turns,karma_to_give,scanning,propulsion,terraforming,research,weapons,banking,manufacturing,position,Survived,Over 10,Podium,Winner,AFK,Rank,True Alias,Played,Max Tech
Chi Alrischa,2274,0,882,44,0,64,290,266,301907,Squadron5,36,0,0,1573,0,13,19,18,27,9,37,12,22,1,1,1,1,1,0,64,Lofty,1,37
Chi Alrischa,811,0,317,13,0,50,114,236,81396,never late,33,0,0,1101,0,16,19,11,29,9,33,12,20,2,1,1,1,0,0,32,spymort,1,33
Chi Alrischa,902,0,182,20,0,3,95,182,81520,Shadow Jack,32,0,0,995,0,16,20,18,27,9,35,12,23,3,1,1,1,0,0,16,Shadow Jack,1,35
Chi Alrischa,662,0,182,40,0,39,88,91,65223,Parsnip,31,0,0,703,0,16,12,18,15,8,30,11,17,4,1,1,0,0,0,1,Parsnip,1,30
Chi Alrischa,460,0,197,57,0,35,64,41,46718,Fiu,31,0,0,441,0,16,19,17,27,9,35,12,23,5,1,1,0,0,0,1,Fiu,1,35
Chi Alrischa,400,0,190,6,0,38,58,26,34855,TeFinete,32,0,0,467,0,16,12,18,15,15,30,11,17,6,1,1,0,0,0,1,TeFinete,1,30
Chi Alrischa,298,0,120,38,0,37,50,27,39491,GuestUserNameGUN,32,0,0,211,0,16,12,18,15,16,30,12,17,7,1,1,0,0,0,1,GuestUserNameGUN,1,30
Chi Alrischa,336,0,39,25,0,2,40,34,59616,The Jewish Star Empire,38,0,0,875,0,16,19,18,27,9,33,12,22,8,1,1,0,0,0,1,The Jewish Star Empire,1,33
Chi Alrischa,143,0,39,21,0,4,25,18,19552,Salarians,38,0,0,194,0,16,10,10,19,8,21,14,15,9,1,1,0,0,0,1,Salarians,1,21
Chi Alrischa,225,0,85,47,1,24,24,44,24020,Kumara,32,1,1,251,0,16,17,18,15,9,21,11,17,10,1,1,0,0,0,1,Kumara,1,21
Chi Alrischa,133,0,61,41,1,15,20,52,15348,JorbGorb,14,1,1,151,0,0,9,9,15,8,24,10,13,11,1,1,0,0,0,1,JorbGorb,1,24
Chi Alrischa,2,0,1,2,0,1,1,5,1147,GreenWarboss,38,0,0,8,0,2,7,6,9,9,10,11,8,12,1,0,0,0,0,1,GreenWarboss,1,11
Chi Alrischa,18,0,1,39,0,42,1,4,4583,Klackon,36,0,0,15,0,0,9,14,12,9,22,8,12,13,1,0,0,0,0,1,Klackon,1,22
Chi Alrischa,3,0,1,48,0,62,1,1,87,Bellum,32,0,0,8,0,0,5,5,3,4,4,8,2,15,1,0,0,0,0,1,Bellum,1,8
Chi Alrischa,27,0,1,22,0,27,1,1,1305,Skarer,36,0,0,5,0,16,12,7,10,8,17,9,12,14,1,0,0,0,0,1,Skarer,1,17
Chi Alrischa,0,0,0,14,1,5,0,0,0,Banana jellyfish,38,1,1,0,0,0,3,3,3,3,3,2,3,,0,0,0,0,0,1,Banana jellyfish,1,3
